final_score,company_name,relevance_score,revenue,website
0.0,LRC Coil,0.61,0.0,https://lrccoil.com/
0.0,"Therma-Pro Mechanical Services, Inc.",0.78,0.0,https://therma-promech.com/
0.0,"McMaster Heating and Air Conditioning, Inc.",0.75,0.0,https://www.mcmasterair.com/
0.0,Ecotemp,0.41,0.0,https://www.eccotemp.com/?srsltid=AfmBOoro7gGmamUFP46lSnVvQ5bP9_e6m0d21EGBAC2vl_WHFHsBX4NU
0.0,Viking Cooling and Heating,0.79,0.0,https://vikingair.net/
0.0,Alps Air Conditioning and Heating,0.5,0.0,https://alpscomfortair.com/
0.0,Cold Cloud Mechanical,0.73,0.0,https://thecoldcloud.com/
0.0,TradeWind Chillers LLC,0.69,0.0,https://www.tradewindchillers.com/
0.0,Scotty's Heating and Air,0.72,0.0,https://www.scottysheatingandair.com/
0.0,A and R HVAC Air conditioning and heating,0.76,0.0,https://aandrhvac.com/?srsltid=AfmBOooQjh4VkHOuPRVwcAaMO-MzmoAaiPfTW8ike_BtFh3v-2Qlw8tx
0.0,"Aero Way, Inc.",0.5,0.0,https://www.aerowayinc.com/?srsltid=AfmBOopT05eDQqnsCWOecPk0ZEwXNayHHt5Kt-Afgkkv4QX7MdGlnEsg
0.0,Dynamic Air Technology,0.63,0.0,http://www.dairtech.com/
0.0,Northern Services Inc.,0.42,0.0,https://www.northsi.com/
0.0,PartsRush,0.5,0.0,https://www.teamwpd.com/
0.0,Assured Heating and Air Conditioning Services LLC,0.84,0.0,https://assuredairpros.com/
0.0,Prime Genius Inc,0.79,0.0,https://primegeniusinc.com/
0.0,TH2or reactor tech.,0.68,0.0,https://www.thorheater.com/
0.0,Servlegacy Inc.,0.66,0.0,https://www.servlegacy.com/
0.0,American Cooling Solutions Inc,0.53,0.0,https://www.americancoolingsolutions.com/?srsltid=AfmBOoo7RibQVSkv204jqlXeoUcnpQ97ZuU3zlYbyo7cvUvzbpjCrgrU
0.0,B and B Mechanical Inc,0.85,0.0,https://bbmechanicalinc.com/
0.0,CB cooling and Heating Inc.,0.85,0.0,https://hvaccb.com/
0.0,Hvac Penguin,0.74,0.0,https://hvacpenguin.com/
0.0,Rosales Mechanical Inc,0.5,0.0,https://www.instagram.com/rosalesmechanical/
0.0,Freon Service: HVAC and Electrical Services,0.86,0.0,https://www.freonhvac.com/
0.0,Wintri,0.81,0.0,https://wintri.com/
0.0,MATRIX HVAC INC,0.5,0.0,https://www.matrixhvac.com/
0.0,Mi Clima Air Conditioning and Heating Inc,0.63,0.0,https://www.miclimaair.com/
0.0,"RUDY'S COMMERCIAL REFRIGERATION, INC.",0.49,0.0,https://rudysrefrigeration.com/?srsltid=AfmBOorurlom-MetiK6Bh0Kv0fPqUqEwerkjEVIE91UcnSuUhPLGFMHw
0.0,Fallbrook Energy,0.47,0.0,https://www.fpud.com/
